location,latitude,longitude
Li Ka Shing,37.87295843,-122.2654381
Valley Life Sciences Building ,37.87142575,-122.2632638
Recreational Sports Facility,37.86867438,-122.2627607
Eshleman Hall,37.86875285,-122.2603671
Haas School of Business,37.87156086,-122.2536357
Evans Hall,37.87362363,-122.2578512
Soda Hall,37.87561268,-122.258722
Wurster Hall,37.87053656,-122.2549009
